Player,eff_s1,eff_s2,eff_s3,eff_delta,trajectory_type,position,team_s3,age_s3,wage_s1,wage_s3
Bruno Fernandes,0.2981145566350136,0.0982152692725684,0.2535899964466708,-0.04452456018834278,Other,Midfielders,Manchester Utd,29,14506393,18482055
Bruno Guimarães,0.5499659732370699,0.4381257207046118,0.305843049369388,-0.24412292386768186,Persistent Overvalued,Midfielders,Newcastle United,26,7253196,9857096
Bryan Cristante,0.3870138443242403,0.0766564749214282,0.1325109385592604,-0.2545029057649799,Other,Midfielders,Roma,29,5190000,5190000
Bryan Mbeumo,0.8610682353569068,0.5790716109897982,0.1089397877524476,-0.7521284476044592,Rising Star,Midfielders,Brentford,24,2719949,2772308
Bukayo Saka,0.6754330841461531,0.2349043666195207,0.340592216503353,-0.33484086764280013,Other,Forwards,Arsenal,22,11786444,12013336
Caio Henrique Oliveira Silva,0.1366250520933611,0.1802559402156145,-0.1136575348542443,-0.2502825869476054,Stable / Fair,Defenders,Monaco,27,2700000,2700000
Callum Wilson,-1.2130826027268569,-0.8459028928336423,-0.7788866110178212,0.43419599170903567,Wage Trap,Forwards,Newcastle United,32,2780392,2833915
Caoimhín Kelleher,-0.637513168022485,-1.525927705800072,-1.441845514704081,-0.8043323466815959,Rising Star,Goalkeepers,Liverpool,25,604433,616068
Carles Pérez,1.3777433234828536,0.8672453160565468,0.9608804658357376,-0.41686285764711595,Rising Star,Midfielders,Getafe,26,4170000,2560000
Carlos Augusto,-0.0119896834524322,-0.1152414472395069,-0.3368017932332563,-0.32481210978082414,Other,Midfielders,Inter,25,630000,2820000
Carlos Dominguez,-0.1638803289122972,-1.2928206068195571,-1.4423601691971246,-1.2784798402848274,Rising Star,Defenders,Celta Vigo,23,300000,150000
Carney Chukwuemeka,1.236668686959197,0.793727732737949,1.3104244462524868,0.07375575929328981,Persistent Overvalued,Midfielders,Dortmund,20,6044330,6160685
Castello Lukeba,-1.6968191432457207,0.4411622127366215,0.7594732302955478,2.4562923735412685,Wage Trap,Defenders,RB Leipzig,21,100000,5000000
Catena,-0.3438926139269238,0.2776292675645422,0.0527894366096877,0.3966820505366115,Other,Defenders,Osasuna,29,360000,1000000
Charles De Ketelaere,0.6504235098858011,0.5664683865202349,0.7309150670477997,0.08049155716199863,Persistent Overvalued,Midfielders,Atalanta,23,2820000,3210000
Cheick Doucouré,0.5694909718431305,0.6076844224731524,0.6180488174555538,0.04855784561242338,Persistent Overvalued,Midfielders,Crystal Palace,24,3626598,4312479
Chris Führich,-0.6979415769624797,0.235795054352037,0.776610345219428,1.4745519221819077,Wage Trap,Midfielders,Stuttgart,26,380000,2500000
Chris Richards,0.7749749247683297,0.3055699714454931,0.1079994341327843,-0.6669754906355454,Rising Star,Defenders,Crystal Palace,24,3324382,3388377
Christian Eriksen,-0.1243172780316257,-0.0327448117256707,-0.0881697878154064,0.03614749021621931,Stable / Fair,Midfielders,Manchester Utd,32,9066495,9241027
Christian Günter,0.0396901348331617,0.44541337792222,0.1200481397814883,0.0803580049483266,Other,Defenders,Freiburg,31,810000,1020000
Christian Nørgaard,-0.0456217932389826,-0.2899497267591169,-0.4869196164962464,-0.4412978232572638,Rising Star,Midfielders,Brentford,30,2115516,2156240
Christian Pulisic,0.4052296121339633,0.1231593225887657,0.0196282416729172,-0.3856013704610461,Other,Midfielders,Milan,25,9066495,5130000
Christoph Baumgartner,-0.912292223122142,-0.2071119584668785,-0.3757721061046588,0.5365201170174831,Wage Trap,Midfielders,RB Leipzig,24,390000,2500000
Christopher Nkunku,0.9418598744964476,0.14449370903165,0.0083165770776467,-0.9335432974188009,Rising Star,Midfielders,Chelsea,26,10000000,12013336
Christopher Trimmel,-0.7137687689603176,-0.2154877150866099,-0.223721669245613,0.4900470997147046,Wage Trap,Midfielders,Union Berlin,37,680000,900000
Clément Lenglet,0.3312094747576264,-0.4795495527875477,-0.7828552148674959,-1.1140646896251223,Rising Star,Defenders,Atlético Madrid,29,8764279,2000000
Cody Gakpo,0.1670176330612705,-0.0639536167605676,-0.0354939751305263,-0.20251160819179678,Stable / Fair,Midfielders,Liverpool,25,7253196,7392822
Conor Gallagher,-0.5700333225375527,-1.0819110779221752,1.0784971252100046,1.6485304477475573,Wage Trap,Midfielders,Atlético Madrid,24,3022165,9000000
Copete,-0.5637147367289366,-0.7389388596178144,-0.9824187296763522,-0.41870399294741567,Rising Star,Defenders,Mallorca,24,210000,210000
Corentin Tolisso,0.4830563881958252,0.2532448878853834,-0.0319723268115961,-0.5150287150074213,Rising Star,Midfielders,Lyon,29,4800000,4800000
Cristhian Mosquera,-0.6542078572702756,-1.3607052497187624,0.7725206852196305,1.426728542489906,Wage Trap,Defenders,Valencia,20,160000,1880000
Cristhian Stuani,0.4688662637523126,-0.541955522363704,-0.4606867250425743,-0.9295529887948869,Rising Star,Forwards,Girona,37,1200000,1200000
Cristian Gamboa,-0.6462631347868424,-0.4472307422059192,-0.2764935291089152,0.36976960567792716,Other,Midfielders,Bochum,34,470000,600000
Cristian Romero,0.7157638961814712,0.43496709256884,0.4749512185099469,-0.24081267767152426,Persistent Overvalued,Defenders,Tottenham Hotspur,26,9973145,10165130
Cristiano Biraghi,-0.2202508695517373,-0.0304223797552634,0.1511153762649204,0.37136624581665767,Other,Midfielders,Fiorentina,31,2220000,3150000
Curtis Jones,-0.9336576720928916,-1.2577406290296196,-1.4584087765058502,-0.5247511044129586,Rising Star,Midfielders,Liverpool,23,906650,924103
César Azpilicueta,-0.097721728827036,0.7437189033880891,0.7771539503895841,0.8748756792166201,Wage Trap,Defenders,Atlético Madrid,34,10879794,8000000
Daichi Kamada,0.2887352392151818,0.3463523875452754,0.4827717400676761,0.1940365008524943,Other,Midfielders,Crystal Palace,27,2000000,6468719
Dan Burn,-0.4183756855909646,-0.4531766553356142,-0.6159350512608235,-0.19755936566985888,Persistent Bargain,Defenders,Newcastle United,32,3324382,3388377
Dani Carvajal,-0.1809001778344203,-0.3468330768476946,-0.1453611092104658,0.035539068623954506,Other,Defenders,Real Madrid,32,10420000,10420000
Dani Ceballos,-1.3854882781427609,-0.3469942029376547,-0.4656707766384862,0.9198175015042747,Wage Trap,Midfielders,Real Madrid,27,3130000,10420000
Dani Olmo,0.1347481530137546,0.7720282246118675,-0.2694830576993183,-0.4042312107130729,Rising Star,Midfielders,Barcelona,26,4200000,9380000
Dani Rodríguez,-0.7853578038594389,-0.8917670889318021,-0.7221876353187469,0.06317016854069202,Persistent Bargain,Midfielders,Mallorca,36,440000,520000
Daniel Bentley,-0.3361708010247977,-0.6967961170700274,0.1831387800188864,0.5193095810436841,Wage Trap,Goalkeepers,Wolves,31,604433,1232137
Daniel Parejo,0.0943405317288892,0.1022413175203293,0.0397607859698894,-0.054579745758999806,Stable / Fair,Midfielders,Villarreal,35,3800000,3120000
Daniel Vivian,0.2388356380502809,-0.0634993270041288,0.7798802206723217,0.5410445826220407,Wage Trap,Defenders,Athletic Club,25,1100000,3130000
Danilo,-0.2397953958681427,-0.194032159442818,0.0330295514139269,0.2728249472820696,Other,Defenders,Juventus,33,5130000,5130000
Danilo D'Ambrosio,-0.0057918083124857,0.1712752587399766,0.2493998629511242,0.2551916712636099,Other,Defenders,Monza,35,3700000,1850000
Danny Welbeck,0.4284448822714548,0.0028780236504886,-0.0309917396869501,-0.45943662195840484,Rising Star,Forwards,Brighton,33,3324382,3696411
Danny da Costa,0.0070675373742705,-0.3858513574942499,-0.6471108347121444,-0.6541783720864148,Rising Star,Defenders,Mainz 05,31,960000,960000
Dante,0.4263124988055207,0.5027254025871564,0.7154020740550493,0.2890895752495286,Persistent Overvalued,Defenders,Nice,40,1500000,1500000
Dany Mota,-1.419387523787604,0.1978683380140129,0.0192916409293033,1.4386791647169073,Wage Trap,Midfielders,Monza,26,440000,1110000
Darko Lazović,-0.0636616344584535,-0.1284509488090535,-0.3451075817778601,-0.2814459473194066,Other,Midfielders,Hellas Verona,33,1110000,830000
Darwin Núñez,-0.2035396964191616,-0.5136448219279899,0.1197435628767777,0.32328325929593926,Other,Forwards,Liverpool,25,8462062,8624959
David Alaba,0.5355423401794823,0.5027800570703569,0.5487803486837315,0.013238008504249166,Persistent Overvalued,Defenders,Real Madrid,32,22500000,22500000
David Brooks,0.6060487008023223,0.1650739611410809,-0.0415621910430754,-0.6476108918453978,Rising Star,Midfielders,Bournemouth,27,3022165,3080342
