Player,Team,Comp,Season,position_group,Age,Annual_Wages_EUR,efficiency_score,panel_efficiency,eff_difference
Alphonso Davies,Bayern Munich,Bundesliga,2024-2025,Defenders,23,11250000,0.5600048452276702,-0.1870971625628348,-0.7471020077905051
Juan David Cabal,Hellas Verona,Serie A,2022-2023,Defenders,21,450000,0.3826439888873736,0.2578633541130332,-0.1247806347743403
Juan David Cabal,Hellas Verona,Serie A,2023-2024,Defenders,22,450000,0.0057510966188782,-0.1190295381554621,-0.1247806347743403
Juan David Cabal,Juventus,Serie A,2024-2025,Defenders,23,2220000,-0.0140531811832307,-0.138833815957571,-0.1247806347743403
Matteo Darmian,Inter,Serie A,2022-2023,Defenders,32,3210000,-0.3657933515952773,0.147983172975442,0.5137765245707193
Matteo Darmian,Inter,Serie A,2023-2024,Defenders,33,3210000,-0.531158934362276,-0.0173824097915566,0.5137765245707193
Matteo Darmian,Inter,Serie A,2024-2025,Defenders,34,3210000,-0.4590918827175105,0.0546846418532088,0.5137765245707193
Achraf Dari,Brest,Ligue 1,2022-2023,Defenders,23,480000,0.4134351800687934,0.0652595501495207,-0.3481756299192726
Achraf Dari,Brest,Ligue 1,2023-2024,Defenders,24,480000,0.2829160797697518,-0.0652595501495207,-0.3481756299192726
Márton Dárdai,Hertha BSC,Bundesliga,2022-2023,Defenders,20,70000,-1.342240630942772,0.0819296570338548,1.4241702879766267
Dante,Nice,Ligue 1,2022-2023,Defenders,38,1500000,0.4263124988055207,-0.1218341596770548,-0.5481466584825755
Dante,Nice,Ligue 1,2023-2024,Defenders,39,1500000,0.5027254025871564,-0.0454212558954191,-0.5481466584825755
Dante,Nice,Ligue 1,2024-2025,Defenders,40,1500000,0.7154020740550493,0.1672554155724738,-0.5481466584825755
Kevin Danso,Lens,Ligue 1,2022-2023,Defenders,23,500000,0.2976255189230468,-0.4468542614411417,-0.7444797803641885
Kevin Danso,Lens,Ligue 1,2023-2024,Defenders,24,1500000,1.1913340418053302,0.4468542614411417,-0.7444797803641885
Danilo,Juventus,Serie A,2022-2023,Defenders,31,5130000,-0.2397953958681427,-0.7559302632853472,-0.5161348674172045
Danilo,Juventus,Serie A,2023-2024,Defenders,32,5130000,-0.194032159442818,-0.7101670268600224,-0.5161348674172044
Danilo,Juventus,Serie A,2024-2025,Defenders,33,5130000,0.0330295514139269,-0.4831053160032776,-0.5161348674172045
Flavius Daniliuc,Salernitana,Serie A,2023-2024,Defenders,22,640000,-0.2689625595139109,-0.2429420793860552,0.0260204801278556
Flavius Daniliuc,Hellas Verona,Serie A,2024-2025,Defenders,23,640000,0.2169215992581996,0.2429420793860552,0.0260204801278556
Diogo Dalot,Manchester Utd,Premier League,2022-2023,Defenders,23,5137681,-0.1215013720028412,0.2756586779321114,0.3971600499349526
Diogo Dalot,Manchester Utd,Premier League,2023-2024,Defenders,24,5231893,-0.4624402781676888,-0.0652802282327362,0.3971600499349526
Diogo Dalot,Manchester Utd,Premier League,2024-2025,Defenders,25,5236582,-0.5954177183506282,-0.1982576684156756,0.3971600499349526
Ameen Al-Dakhil,Burnley,Premier League,2023-2024,Defenders,21,923275,0.4596286223026684,-0.2343034635005763,-0.6939320858032447
Ameen Al-Dakhil,Stuttgart,Bundesliga,2024-2025,Defenders,22,1320000,0.928235549303821,0.2343034635005763,-0.6939320858032447
Colin Dagba,Strasbourg,Ligue 1,2022-2023,Defenders,23,660000,0.4500388276156801,0.0581799905415234,-0.3918588370741566
Danilo D'Ambrosio,Inter,Serie A,2022-2023,Defenders,33,3700000,-0.0057918083124857,-0.1440862461053574,-0.1382944377928716
Danilo D'Ambrosio,Monza,Serie A,2023-2024,Defenders,34,1850000,0.1712752587399766,0.0329808209471049,-0.1382944377928716
Danilo D'Ambrosio,Monza,Serie A,2024-2025,Defenders,35,1850000,0.2493998629511242,0.1111054251582525,-0.1382944377928716
Braian Cufré,Mallorca,La Liga,2022-2023,Defenders,25,500000,0.1194517259164715,-0.030242368810959,-0.1496940947274305
Jorge Cuenca,Villarreal,La Liga,2022-2023,Defenders,22,1050000,0.2531339867288,0.3191851430215368,0.0660511562927368
Jorge Cuenca,Villarreal,La Liga,2023-2024,Defenders,23,1050000,-0.2248385567073985,-0.1587874004146616,0.0660511562927368
Jorge Cuenca,Fulham,Premier League,2024-2025,Defenders,24,1540171,-0.226448898899612,-0.1603977426068751,0.0660511562927368
Marc Cucurella,Chelsea,Premier League,2022-2023,Defenders,24,10577578,0.4415458236728415,0.2035488910053211,-0.2379969326675204
Marc Cucurella,Chelsea,Premier League,2023-2024,Defenders,25,10771545,0.2384645101526317,0.0004675774851112,-0.2379969326675204
Marc Cucurella,Chelsea,Premier League,2024-2025,Defenders,26,10781199,-0.180207272603674,-0.4182042052711944,-0.2379969326675204
Juan Cuadrado,Juventus,Serie A,2022-2023,Defenders,34,9260000,0.655792560928246,0.3270024351376353,-0.3287901257906107
Juan Cuadrado,Inter,Serie A,2023-2024,Defenders,35,4630000,0.2625986714612232,-0.0661914543293875,-0.3287901257906107
Juan Cruz,Leganés,La Liga,2024-2025,Defenders,24,520000,0.0198483692736068,-0.0867724479224823,-0.1066208171960891
Juan Cruz Armada,Osasuna,La Liga,2022-2023,Defenders,30,620000,-0.1340559403545338,0.3428787052178469,0.4769346455723807
Juan Cruz Armada,Osasuna,La Liga,2023-2024,Defenders,31,400000,-0.61828241637361,-0.1413477708012293,0.4769346455723807
Juan Cruz Armada,Osasuna,La Liga,2024-2025,Defenders,32,400000,-0.6784655799889983,-0.2015309344166175,0.4769346455723807
Aaron Cresswell,West Ham United,Premier League,2022-2023,Defenders,32,3022165,-0.3315939634691531,-0.1038846818474728,0.2277092816216802
Aaron Cresswell,West Ham United,Premier League,2023-2024,Defenders,33,3077584,-0.1139911965239477,0.1137180850977325,0.2277092816216802
