Team,Player,Nation,Pos,Age,Weekly Wages,Annual Wages,Notes
Brest,Romain Del Castillo,FRA,"MF,FW",27.0,"€ 20,962 (£ 17,709, $22,526)","€ 1,090,000 (£ 920,864, $1,171,363)",Unverified estimation
Lorient,Romain Faivre,FRA,MF,25.0,"€ 23,077 (£ 19,496, $24,800)","€ 1,200,000 (£ 1,013,795, $1,289,574)",
Nice,Romain Perraud,FRA,DF,25.0,"€ 35,000 (£ 29,569, $37,613)","€ 1,820,000 (£ 1,537,589, $1,955,853)",Unverified estimation
Valencia,Roman Yaremchuk,UKR,FW,27.0,"€ 50,000 (£ 42,241, $53,732)","€ 2,600,000 (£ 2,196,556, $2,794,076)",Unverified estimation
Werder Bremen,Romano Schmid,AUT,"MF,FW",23.0,"€ 6,923 (£ 5,849, $7,440)","€ 360,000 (£ 304,138, $386,872)",Unverified estimation
Roma,Romelu Lukaku,BEL,FW,30.0,"€ 172,500 (£ 145,733, $185,376)","€ 8,970,000 (£ 7,578,117, $9,639,563)",
Cádiz,Rominigue Kouamé,MLI,MF,26.0,"€ 14,038 (£ 11,860, $15,086)","€ 730,000 (£ 616,725, $784,491)",Unverified estimation
Chelsea,Roméo Lavia,BEL,MF,19.0,"£ 45,000 (€ 53,266, $57,242)","£ 2,340,000 (€ 2,769,826, $2,976,570)",Unverified estimation
Barcelona,Ronald Araújo,URU,DF,24.0,"€ 134,615 (£ 113,727, $144,664)","€ 7,000,000 (£ 5,913,804, $7,522,513)",
Nantes,Ronaël Pierre-Gabriel,FRA,"DF,MF",25.0,"€ 19,231 (£ 16,247, $20,666)","€ 1,000,000 (£ 844,829, $1,074,645)",Unverified estimation
Luton Town,Ross Barkley,ENG,MF,29.0,"£ 30,000 (€ 35,511, $38,161)","£ 1,560,000 (€ 1,846,551, $1,984,380)",Unverified estimation
Sassuolo,Ruan,BRA,DF,24.0,"€ 9,423 (£ 7,961, $10,126)","€ 490,000 (£ 413,966, $526,576)",
Lens,Ruben Aguilar,FRA,MF,30.0,"€ 28,846 (£ 24,370, $30,999)","€ 1,500,000 (£ 1,267,244, $1,611,967)",Unverified estimation
Milan,Ruben Loftus-Cheek,ENG,MF,27.0,"€ 98,654 (£ 83,346, $106,018)","€ 5,130,000 (£ 4,333,973, $5,512,927)",
Augsburg,Ruben Vargas,SUI,"MF,FW",24.0,"€ 16,346 (£ 13,810, $17,566)","€ 850,000 (£ 718,105, $913,448)",Unverified estimation
Cádiz,Rubén Alcaraz,ESP,MF,32.0,"€ 14,423 (£ 12,185, $15,500)","€ 750,000 (£ 633,622, $805,984)",Unverified estimation
Marseille,Rubén Blanco,ESP,GK,28.0,"€ 48,077 (£ 40,617, $51,666)","€ 2,500,000 (£ 2,112,073, $2,686,612)",Unverified estimation
Alavés,Rubén Duarte,ESP,DF,27.0,"€ 10,962 (£ 9,261, $11,780)","€ 570,000 (£ 481,553, $612,547)",Unverified estimation
Osasuna,Rubén García,ESP,"FW,MF",30.0,"€ 22,115 (£ 18,684, $23,766)","€ 1,150,000 (£ 971,553, $1,235,841)",
Osasuna,Rubén Peña,ESP,"DF,MF",32.0,"€ 15,962 (£ 13,485, $17,153)","€ 830,000 (£ 701,208, $891,955)",Unverified estimation
Cádiz,Rubén Sobrino,ESP,"MF,FW",31.0,"€ 15,385 (£ 12,997, $16,533)","€ 800,000 (£ 675,863, $859,716)",Unverified estimation
Roma,Rui Patrício,POR,GK,35.0,"€ 74,038 (£ 62,550, $79,565)","€ 3,850,000 (£ 3,252,592, $4,137,382)",
Real Betis,Rui Silva,POR,GK,29.0,"€ 17,308 (£ 14,622, $18,600)","€ 900,000 (£ 760,346, $967,180)",Unverified estimation
Genoa,Ruslan Malinovskyi,UKR,"MF,FW",30.0,"€ 24,615 (£ 20,796, $26,453)","€ 1,280,000 (£ 1,081,381, $1,375,545)",Unverified estimation
Bournemouth,Ryan Christie,SCO,MF,28.0,"£ 50,000 (€ 59,184, $63,602)","£ 2,600,000 (€ 3,077,584, $3,307,300)",Unverified estimation
Bournemouth,Ryan Fredericks,ENG,RB,31.0,"£ 35,000 (€ 41,429, $44,521)","£ 1,820,000 (€ 2,154,309, $2,315,110)",Unverified estimation
Luton Town,Ryan Giles,ENG,"MF,DF",23.0,"£ 35,000 (€ 41,429, $44,521)","£ 1,820,000 (€ 2,154,309, $2,315,110)",Unverified estimation
Liverpool,Ryan Gravenberch,NED,MF,21.0,"£ 150,000 (€ 177,553, $190,806)","£ 7,800,000 (€ 9,232,753, $9,921,900)",Unverified estimation
Tottenham Hotspur,Ryan Sessegnon,ENG,"DF,FW",23.0,"£ 55,000 (€ 65,103, $69,962)","£ 2,860,000 (€ 3,385,343, $3,638,030)",
Nottingham Forest,Ryan Yates,ENG,MF,25.0,"£ 25,000 (€ 29,592, $31,801)","£ 1,300,000 (€ 1,538,792, $1,653,650)",
Lille,Rémy Cabella,FRA,"MF,FW",33.0,"€ 27,692 (£ 23,395, $29,759)","€ 1,440,000 (£ 1,216,554, $1,547,488)",Unverified estimation
Nantes,Rémy Descamps,FRA,GK,27.0,"€ 2,308 (£ 1,950, $2,480)","€ 120,000 (£ 101,379, $128,957)",Unverified estimation
Lyon,Rémy Riou,FRA,GK,35.0,"€ 8,077 (£ 6,824, $8,680)","€ 420,000 (£ 354,828, $451,351)",Unverified estimation
Manchester City,Rúben Dias,POR,"DF,MF",26.0,"£ 180,000 (€ 213,064, $228,967)","£ 9,360,000 (€ 11,079,304, $11,906,280)",
Empoli,Răzvan Marin,ROU,MF,27.0,"€ 24,615 (£ 20,796, $26,453)","€ 1,280,000 (£ 1,081,381, $1,375,545)",
Torino,Saba Sazonov,GEO,DF,21.0,"€ 12,308 (£ 10,398, $13,226)","€ 640,000 (£ 540,691, $687,773)",Unverified estimation
Montpellier,Sacha Delaye,FRA,MF,21.0,"€ 2,308 (£ 1,950, $2,480)","€ 120,000 (£ 101,379, $128,957)",Unverified estimation
Metz,Sadibou Sané,SEN,DF,19.0,"€ 2,308 (£ 1,950, $2,480)","€ 120,000 (£ 101,379, $128,957)",Unverified estimation
Lyon,Sael Kumbedi,FRA,"DF,MF",18.0,"€ 9,231 (£ 7,798, $9,920)","€ 480,000 (£ 405,518, $515,829)",Unverified estimation
Strasbourg,Saidou Sow,GUI,DF,21.0,"€ 12,500 (£ 10,560, $13,433)","€ 650,000 (£ 549,139, $698,519)",Unverified estimation
Dortmund,Salih Özcan,TUR,MF,25.0,"€ 72,692 (£ 61,413, $78,118)","€ 3,780,000 (£ 3,193,454, $4,062,157)",Unverified estimation
Lens,Salis Abdul Samed,GHA,MF,23.0,"€ 16,154 (£ 13,647, $17,360)","€ 840,000 (£ 709,656, $902,702)",Unverified estimation
Bologna,Sam Beukema,NED,DF,24.0,"€ 17,308 (£ 14,622, $18,600)","€ 900,000 (£ 760,346, $967,180)",
Crystal Palace,Sam Johnstone,ENG,GK,30.0,"£ 40,000 (€ 47,347, $50,882)","£ 2,080,000 (€ 2,462,068, $2,645,840)",Unverified estimation
Brentford,Saman Ghoddos,IRN,"DF,MF",29.0,"£ 15,000 (€ 17,755, $19,081)","£ 780,000 (€ 923,275, $992,190)",Unverified estimation
Metz,Sami Lahssaini,BEL,CM,24.0,"€ 4,038 (£ 3,412, $4,340)","€ 210,000 (£ 177,414, $225,675)",Unverified estimation
Valencia,Samu Castillejo,ESP,RW,28.0,"€ 19,231 (£ 16,247, $20,666)","€ 1,000,000 (£ 844,829, $1,074,645)",Unverified estimation
Mallorca,Samu Costa,POR,MF,22.0,"€ 13,462 (£ 11,373, $14,466)","€ 700,000 (£ 591,380, $752,251)",Unverified estimation
Alavés,Samu Omorodion,ESP,FW,19.0,"€ 7,115 (£ 6,011, $7,647)","€ 370,000 (£ 312,587, $397,619)",Unverified estimation
Milan,Samuel Chukwueze,NGA,"MF,FW",24.0,"€ 98,654 (£ 83,346, $106,018)","€ 5,130,000 (£ 4,333,973, $5,512,927)",
Marseille,Samuel Gigot,FRA,DF,29.0,"€ 43,654 (£ 36,880, $46,912)","€ 2,270,000 (£ 1,917,762, $2,439,443)",Unverified estimation
Le Havre,Samuel Grandsir,FRA,MF,26.0,"€ 9,808 (£ 8,286, $10,540)","€ 510,000 (£ 430,863, $548,069)",Unverified estimation
Juventus,Samuel Iling-Junior,ENG,MF,19.0,"€ 12,308 (£ 10,398, $13,226)","€ 640,000 (£ 540,691, $687,773)",Unverified estimation
Reims,Samuel Koeberlé,FRA,MF,18.0,"€ 2,500 (£ 2,112, $2,687)","€ 130,000 (£ 109,828, $139,704)",Unverified estimation
Atlético Madrid,Samuel Lino,BRA,"MF,DF",23.0,"€ 24,038 (£ 20,308, $25,833)","€ 1,250,000 (£ 1,056,036, $1,343,306)",Unverified estimation
Nantes,Samuel Moutoussamy,COD,MF,26.0,"€ 4,038 (£ 3,412, $4,340)","€ 210,000 (£ 177,414, $225,675)",Unverified estimation
Lille,Samuel Umtiti,FRA,DF,29.0,"€ 61,538 (£ 51,989, $66,132)","€ 3,200,000 (£ 2,703,453, $3,438,863)",Unverified estimation
Monza,Samuele Birindelli,ITA,"MF,DF",24.0,"€ 15,962 (£ 13,485, $17,153)","€ 830,000 (£ 701,208, $891,955)",Unverified estimation
Sassuolo,Samuele Mulattieri,ITA,FW,22.0,"€ 15,962 (£ 13,485, $17,153)","€ 830,000 (£ 701,208, $891,955)",Unverified estimation
Empoli,Samuele Perisan,ITA,GK,25.0,"€ 6,346 (£ 5,361, $6,820)","€ 330,000 (£ 278,794, $354,633)",Unverified estimation
Torino,Samuele Ricci,ITA,MF,21.0,"€ 35,577 (£ 30,056, $38,233)","€ 1,850,000 (£ 1,562,934, $1,988,093)",
Monza,Samuele Vignato,ITA,MF,19.0,"€ 3,269 (£ 2,762, $3,513)","€ 170,000 (£ 143,621, $182,690)",Unverified estimation
Burnley,Sander Berge,NOR,MF,25.0,"£ 40,000 (€ 47,347, $50,882)","£ 2,080,000 (€ 2,462,068, $2,645,840)",Unverified estimation
Udinese,Sandi Lovrić,SVN,MF,25.0,"€ 17,308 (£ 14,622, $18,600)","€ 900,000 (£ 760,346, $967,180)",
Las Palmas,Sandro Ramírez,ESP,"FW,MF",28.0,"€ 28,654 (£ 24,208, $30,793)","€ 1,490,000 (£ 1,258,795, $1,601,221)",Unverified estimation
Newcastle United,Sandro Tonali,ITA,MF,23.0,,,
Strasbourg,Sanjin Prcić,BIH,MF,29.0,"€ 16,154 (£ 13,647, $17,360)","€ 840,000 (£ 709,656, $902,702)",
Villarreal,Santi Comesaña,ESP,MF,26.0,"€ 24,038 (£ 20,308, $25,833)","€ 1,250,000 (£ 1,056,036, $1,343,306)",Unverified estimation
Wolves,Santiago Bueno,URU,DF,24.0,"£ 30,000 (€ 35,511, $38,161)","£ 1,560,000 (€ 1,846,551, $1,984,380)",Unverified estimation
Roma,Sardar Azmoun,IRN,"FW,MF",28.0,"€ 41,923 (£ 35,418, $45,052)","€ 2,180,000 (£ 1,841,727, $2,342,725)",
Köln,Sargis Adamyan,ARM,"FW,MF",30.0,"€ 11,538 (£ 9,748, $12,400)","€ 600,000 (£ 506,897, $644,787)",Unverified estimation
Wolves,Sasa Kalajdzic,AUT,FW,26.0,"£ 35,000 (€ 41,429, $44,521)","£ 1,820,000 (€ 2,154,309, $2,315,110)",Unverified estimation
West Ham United,Saïd Benrahma,ALG,MF,27.0,"£ 55,000 (€ 65,103, $69,962)","£ 2,860,000 (€ 3,385,343, $3,638,030)",
Las Palmas,Saúl Coco,EQG,DF,24.0,"€ 3,269 (£ 2,762, $3,513)","€ 170,000 (£ 143,621, $182,690)",Unverified estimation
Atlético Madrid,Saúl Ñíguez,ESP,MF,28.0,"€ 230,769 (£ 194,961, $247,995)","€ 12,000,000 (£ 10,137,949, $12,895,736)",
Fulham,Saša Lukić,SRB,MF,26.0,"£ 63,000 (€ 74,572, $80,138)","£ 3,276,000 (€ 3,877,756, $4,167,198)",
Manchester City,Scott Carson,ENG,GK,37.0,"£ 30,000 (€ 35,511, $38,161)","£ 1,560,000 (€ 1,846,551, $1,984,380)",Unverified estimation
Nottingham Forest,Scott McKenna,SCO,DF,26.0,"£ 20,000 (€ 23,674, $25,441)","£ 1,040,000 (€ 1,231,034, $1,322,920)",
Manchester Utd,Scott McTominay,SCO,MF,26.0,"£ 60,000 (€ 71,021, $76,322)","£ 3,120,000 (€ 3,693,101, $3,968,760)",
Atalanta,Sead Kolašinac,BIH,DF,30.0,"€ 49,231 (£ 41,592, $52,906)","€ 2,560,000 (£ 2,162,762, $2,751,090)",
Newcastle United,Sean Longstaff,ENG,MF,25.0,"£ 50,000 (€ 59,184, $63,602)","£ 2,600,000 (€ 3,077,584, $3,307,300)",
Wolfsburg,Sebastiaan Bornauw,BEL,DF,24.0,"€ 54,231 (£ 45,816, $58,279)","€ 2,820,000 (£ 2,382,418, $3,030,498)",Unverified estimation
Eintracht Frankfurt,Sebastian Rode,GER,MF,32.0,"€ 48,077 (£ 40,617, $51,666)","€ 2,500,000 (£ 2,112,073, $2,686,612)",
Empoli,Sebastian Walukiewicz,POL,DF,23.0,"€ 7,308 (£ 6,174, $7,853)","€ 380,000 (£ 321,035, $408,365)",
Empoli,Sebastiano Luperto,ITA,DF,26.0,"€ 35,577 (£ 30,056, $38,233)","€ 1,850,000 (£ 1,562,934, $1,988,093)",
Heidenheim,Seedy Jarju,GAM,DF,18.0,"€ 2,308 (£ 1,950, $2,480)","€ 120,000 (£ 101,379, $128,957)",Unverified estimation
Udinese,Sekou Diawara,BEL,FW,19.0,"€ 2,500 (£ 2,112, $2,687)","€ 130,000 (£ 109,828, $139,704)",Unverified estimation
Valencia,Selim Amallah,MAR,"MF,FW",26.0,"€ 8,846 (£ 7,473, $9,506)","€ 460,000 (£ 388,621, $494,337)",Unverified estimation
Werder Bremen,Senne Lynen,BEL,MF,24.0,"€ 21,154 (£ 17,871, $22,733)","€ 1,100,000 (£ 929,312, $1,182,109)",Unverified estimation
Mainz 05,Sepp van den Berg,NED,DF,21.0,"€ 10,385 (£ 8,773, $11,160)","€ 540,000 (£ 456,208, $580,308)",Unverified estimation
Nottingham Forest,Serge Aurier,CIV,"DF,MF",30.0,"£ 50,000 (€ 59,184, $63,602)","£ 2,600,000 (€ 3,077,584, $3,307,300)",Unverified estimation
Bayern Munich,Serge Gnabry,GER,MF,28.0,"€ 362,885 (£ 306,575, $389,972)","€ 18,870,000 (£ 15,941,925, $20,278,545)",
Real Betis,Sergi Altimira,ESP,MF,21.0,"€ 3,846 (£ 3,249, $4,133)","€ 200,000 (£ 168,966, $214,929)",Unverified estimation
Valencia,Sergi Canós,ESP,MF,26.0,"€ 28,846 (£ 24,370, $30,999)","€ 1,500,000 (£ 1,267,244, $1,611,967)",Unverified estimation
Las Palmas,Sergi Cardona,ESP,DF,24.0,"€ 3,269 (£ 2,762, $3,513)","€ 170,000 (£ 143,621, $182,690)",Unverified estimation
Mallorca,Sergi Darder,ESP,MF,29.0,"€ 43,269 (£ 36,555, $46,499)","€ 2,250,000 (£ 1,900,865, $2,417,951)",Unverified estimation
Cádiz,Sergi Guardiola,ESP,FW,32.0,"€ 7,500 (£ 6,336, $8,060)","€ 390,000 (£ 329,483, $419,111)",Unverified estimation
Barcelona,Sergi Roberto,ESP,MF,31.0,"€ 96,154 (£ 81,234, $103,331)","€ 5,000,000 (£ 4,224,145, $5,373,223)",
Almería,Sergio Akieme,ESP,"DF,MF",25.0,"€ 11,538 (£ 9,748, $12,400)","€ 600,000 (£ 506,897, $644,787)",Unverified estimation
Almería,Sergio Arribas,ESP,"MF,FW",21.0,"€ 10,577 (£ 8,936, $11,366)","€ 550,000 (£ 464,656, $591,055)",Unverified estimation
Rayo Vallecano,Sergio Camello,ESP,FW,22.0,"€ 12,500 (£ 10,560, $13,433)","€ 650,000 (£ 549,139, $698,519)",Unverified estimation
Manchester City,Sergio Gómez,ESP,DF,22.0,"£ 50,000 (€ 59,184, $63,602)","£ 2,600,000 (€ 3,077,584, $3,307,300)",Unverified estimation
Osasuna,Sergio Herrera,ESP,GK,30.0,"€ 18,269 (£ 15,434, $19,633)","€ 950,000 (£ 802,588, $1,020,912)",Unverified estimation
Frosinone,Sergio Kalaj,ALB,CB,23.0,"€ 7,115 (£ 6,011, $7,647)","€ 370,000 (£ 312,587, $397,619)",Unverified estimation
Sevilla,Sergio Ramos,ESP,DF,37.0,"€ 44,038 (£ 37,205, $47,326)","€ 2,290,000 (£ 1,934,659, $2,460,936)",
Tottenham Hotspur,Sergio Reguilón,ESP,LB,27.0,,,
Paris Saint-Germain,Sergio Rico,ESP,GK,30.0,"€ 39,423 (£ 33,306, $42,366)","€ 2,050,000 (£ 1,731,900, $2,203,022)",Unverified estimation
Granada,Sergio Ruiz,ESP,MF,28.0,"€ 16,731 (£ 14,135, $17,980)","€ 870,000 (£ 735,001, $934,941)",Unverified estimation
Barcelona,Sergiño Dest,USA,RB,22.0,"€ 57,692 (£ 48,740, $61,999)","€ 3,000,000 (£ 2,534,487, $3,223,934)",
Stuttgart,Serhou Guirassy,GUI,FW,27.0,"€ 41,538 (£ 35,093, $44,639)","€ 2,160,000 (£ 1,824,831, $2,321,233)",
Clermont Foot,Shamar Nicholson,JAM,FW,26.0,"€ 5,192 (£ 4,387, $5,580)","€ 270,000 (£ 228,104, $290,154)",Unverified estimation
Brentford,Shandon Baptiste,GRN,MF,25.0,"£ 15,000 (€ 17,755, $19,081)","£ 780,000 (€ 923,275, $992,190)",Unverified estimation
Union Berlin,Sheraldo Becker,SUR,FW,28.0,"€ 26,538 (£ 22,420, $28,519)","€ 1,380,000 (£ 1,165,864, $1,483,010)",Unverified estimation
Manchester Utd,Shola Shoretire,ENG,"FW,MF",19.0,"£ 5,000 (€ 5,918, $6,360)","£ 260,000 (€ 307,758, $330,730)",Unverified estimation
Granada,Shon Weissman,ISR,FW,27.0,"€ 5,577 (£ 4,712, $5,993)","€ 290,000 (£ 245,000, $311,647)",Unverified estimation
Eintracht Frankfurt,Sidney Raebiger,GER,CM,18.0,"€ 2,885 (£ 2,437, $3,100)","€ 150,000 (£ 126,724, $161,197)",Unverified estimation
Mallorca,Siebe Van Der Heyden,BEL,DF,25.0,"€ 16,346 (£ 13,810, $17,566)","€ 850,000 (£ 718,105, $913,448)",Unverified estimation
Stuttgart,Silas Katompa,COD,MF,24.0,"€ 21,923 (£ 18,521, $23,560)","€ 1,140,000 (£ 963,105, $1,225,095)",Unverified estimation
Dortmund,Silas Ostrzinski,GER,GK,19.0,"€ 2,308 (£ 1,950, $2,480)","€ 120,000 (£ 101,379, $128,957)",Unverified estimation
Genoa,Silvan Hefti,SUI,MF,25.0,"€ 19,808 (£ 16,734, $21,286)","€ 1,030,000 (£ 870,174, $1,106,884)",
Mainz 05,Silvan Widmer,SUI,"MF,DF",30.0,"€ 36,346 (£ 30,706, $39,059)","€ 1,890,000 (£ 1,596,727, $2,031,078)",Unverified estimation
Salernitana,Simeon Nwankwo,NGA,FW,31.0,"€ 35,577 (£ 30,056, $38,233)","€ 1,850,000 (£ 1,562,934, $1,988,093)",
Brighton,Simon Adingra,CIV,MF,21.0,"£ 12,500 (€ 14,796, $15,900)","£ 650,000 (€ 769,396, $826,825)",Unverified estimation
Metz,Simon Elisor,FRA,FW,24.0,"€ 5,769 (£ 4,874, $6,200)","€ 300,000 (£ 253,449, $322,393)",Unverified estimation
Milan,Simon Kjær,DEN,DF,34.0,"€ 36,923 (£ 31,194, $39,679)","€ 1,920,000 (£ 1,622,072, $2,063,318)",
Marseille,Simon Ngapandouetnbu,CMR,GK,20.0,"€ 2,308 (£ 1,950, $2,480)","€ 120,000 (£ 101,379, $128,957)",Unverified estimation
Eintracht Frankfurt,Simon Simoni,ALB,GK,19.0,"€ 2,885 (£ 2,437, $3,100)","€ 150,000 (£ 126,724, $161,197)",Unverified estimation
Gladbach,Simon Walde,GER,DF,18.0,"€ 6,538 (£ 5,524, $7,027)","€ 340,000 (£ 287,242, $365,379)",Unverified estimation
Cagliari,Simone Aresti,ITA,GK,37.0,"€ 5,385 (£ 4,549, $5,787)","€ 280,000 (£ 236,552, $300,901)",
Empoli,Simone Bastoni,ITA,"MF,DF",26.0,"€ 8,846 (£ 7,473, $9,506)","€ 460,000 (£ 388,621, $494,337)",
Udinese,Simone Pafundi,,AM,17.0,"€ 8,846 (£ 7,473, $9,506)","€ 460,000 (£ 388,621, $494,337)",Unverified estimation
Hellas Verona,Simone Perilli,ITA,GK,28.0,"€ 8,846 (£ 7,473, $9,506)","€ 460,000 (£ 388,621, $494,337)",Unverified estimation
Frosinone,Simone Romagnoli,ITA,DF,33.0,"€ 17,885 (£ 15,109, $19,220)","€ 930,000 (£ 785,691, $999,420)",
Cagliari,Simone Scuffet,ITA,GK,27.0,"€ 7,308 (£ 6,174, $7,853)","€ 380,000 (£ 321,035, $408,365)",Unverified estimation
Lyon,Sinaly Diomande,CIV,DF,22.0,"€ 11,731 (£ 9,911, $12,606)","€ 610,000 (£ 515,346, $655,533)",Unverified estimation
Lorient,Siriné Doucouré,MLI,FW,21.0,"€ 2,308 (£ 1,950, $2,480)","€ 120,000 (£ 101,379, $128,957)",Unverified estimation
Lyon,Skelly Alvero,FRA,MF,21.0,"€ 12,500 (£ 10,560, $13,433)","€ 650,000 (£ 549,139, $698,519)",Unverified estimation
Nice,Sofiane Diop,MAR,"FW,MF",23.0,"€ 19,615 (£ 16,572, $21,080)","€ 1,020,000 (£ 861,726, $1,096,138)",Unverified estimation
Manchester Utd,Sofyan Amrabat,MAR,"MF,DF",26.0,"£ 65,000 (€ 76,940, $82,683)","£ 3,380,000 (€ 4,000,860, $4,299,490)",Unverified estimation
Real Betis,Sokratis Papastathopoulos,GRE,DF,35.0,"€ 44,038 (£ 37,205, $47,326)","€ 2,290,000 (£ 1,934,659, $2,460,936)",
Brighton,Solly March,ENG,"MF,DF",29.0,"£ 50,000 (€ 59,184, $63,602)","£ 2,600,000 (€ 3,077,584, $3,307,300)",Unverified estimation
Tottenham Hotspur,Son Heung-min,KOR,"FW,MF",31.0,"£ 190,000 (€ 224,900, $241,687)","£ 9,880,000 (€ 11,694,821, $12,567,740)",
Las Palmas,Sory Kaba,GUI,FW,28.0,"€ 15,385 (£ 12,997, $16,533)","€ 800,000 (£ 675,863, $859,716)",Unverified estimation
Frosinone,Soufiane Bidaoui,MAR,"FW,MF",33.0,"€ 13,654 (£ 11,535, $14,673)","€ 710,000 (£ 599,829, $762,998)",Unverified estimation
Lorient,Souleymane Touré,FRA,DF,20.0,"€ 12,500 (£ 10,560, $13,433)","€ 650,000 (£ 549,139, $698,519)",Unverified estimation
Monaco,Soungoutou Magassa,FRA,DF,19.0,"€ 6,923 (£ 5,849, $7,440)","€ 360,000 (£ 304,138, $386,872)",Unverified estimation
Napoli,Stanislav Lobotka,SVK,MF,28.0,"€ 69,038 (£ 58,326, $74,192)","€ 3,590,000 (£ 3,032,936, $3,857,974)",
Hoffenheim,Stanley N'Soki,FRA,"DF,MF",24.0,"€ 23,077 (£ 19,496, $24,800)","€ 1,200,000 (£ 1,013,795, $1,289,574)",Unverified estimation
Liverpool,Stefan Bajcetic,ESP,MF,18.0,"£ 40,000 (€ 47,347, $50,882)","£ 2,080,000 (€ 2,462,068, $2,645,840)",Unverified estimation
Mainz 05,Stefan Bell,GER,DF,31.0,"€ 34,615 (£ 29,244, $37,199)","€ 1,800,000 (£ 1,520,692, $1,934,360)",
Gladbach,Stefan Lainer,AUT,"MF,DF",30.0,"€ 44,231 (£ 37,367, $47,532)","€ 2,300,000 (£ 1,943,107, $2,471,683)",Unverified estimation
Getafe,Stefan Mitrović,SRB,DF,33.0,"€ 4,808 (£ 4,062, $5,167)","€ 250,000 (£ 211,207, $268,661)",Unverified estimation
Manchester City,Stefan Ortega,GER,GK,30.0,"£ 55,000 (€ 65,103, $69,962)","£ 2,860,000 (€ 3,385,343, $3,638,030)",
Bologna,Stefan Posch,AUT,DF,26.0,"€ 19,231 (£ 16,247, $20,666)","€ 1,000,000 (£ 844,829, $1,074,645)",Unverified estimation
Atlético Madrid,Stefan Savić,MNE,DF,32.0,"€ 86,538 (£ 73,110, $92,998)","€ 4,500,000 (£ 3,801,731, $4,835,901)",
Heidenheim,Stefan Schimmer,GER,FW,29.0,"€ 5,769 (£ 4,874, $6,200)","€ 300,000 (£ 253,449, $322,393)",Unverified estimation
Inter,Stefan de Vrij,NED,DF,31.0,"€ 135,385 (£ 114,377, $145,490)","€ 7,040,000 (£ 5,947,597, $7,565,499)",
Monza,Stefano Gori,ITA,GK,27.0,"€ 8,846 (£ 7,473, $9,506)","€ 460,000 (£ 388,621, $494,337)",Unverified estimation
Genoa,Stefano Sabelli,ITA,"MF,DF",30.0,"€ 9,615 (£ 8,123, $10,333)","€ 500,000 (£ 422,415, $537,322)",
Inter,Stefano Sensi,ITA,MF,27.0,"€ 71,154 (£ 60,113, $76,465)","€ 3,700,000 (£ 3,125,868, $3,976,185)",
Frosinone,Stefano Turati,ITA,GK,21.0,"€ 16,346 (£ 13,810, $17,566)","€ 850,000 (£ 718,105, $913,448)",
Köln,Steffen Tigges,GER,FW,25.0,"€ 12,692 (£ 10,723, $13,640)","€ 660,000 (£ 557,587, $709,266)",Unverified estimation
Roma,Stephan El Shaarawy,ITA,"FW,MF",30.0,"€ 89,038 (£ 75,222, $95,685)","€ 4,630,000 (£ 3,911,559, $4,975,605)",
Rennes,Steve Mandanda,FRA,GK,38.0,"€ 43,846 (£ 37,043, $47,119)","€ 2,280,000 (£ 1,926,210, $2,450,190)",
Brest,Steve Mounié,BEN,FW,28.0,"€ 16,154 (£ 13,647, $17,360)","€ 840,000 (£ 709,656, $902,702)",
Brighton,Steven Alzate,COL,MF,24.0,"£ 15,000 (€ 17,755, $19,081)","£ 780,000 (€ 923,275, $992,190)",
Strasbourg,Steven Baseya,FRA,DF,18.0,"€ 2,308 (£ 1,950, $2,480)","€ 120,000 (£ 101,379, $128,957)",Unverified estimation
Fulham,Steven Benda,GER,GK,24.0,"£ 10,000 (€ 11,837, $12,720)","£ 520,000 (€ 615,517, $661,460)",Unverified estimation
Toulouse,Stijn Spierings,NED,MF,27.0,"€ 15,385 (£ 12,997, $16,533)","€ 800,000 (£ 675,863, $859,716)",Unverified estimation
Empoli,Stiven Shpendi,,CF,20.0,"€ 3,654 (£ 3,087, $3,927)","€ 190,000 (£ 160,518, $204,182)",Unverified estimation
Rayo Vallecano,Stole Dimitrievski,MKD,GK,29.0,"€ 12,692 (£ 10,723, $13,640)","€ 660,000 (£ 557,587, $709,266)",
Nantes,Stredair Appuah,FRA,FW,19.0,"€ 2,308 (£ 1,950, $2,480)","€ 120,000 (£ 101,379, $128,957)",Unverified estimation
Hellas Verona,Suat Serdar,GER,MF,26.0,"€ 39,423 (£ 33,306, $42,366)","€ 2,050,000 (£ 1,731,900, $2,203,022)",Unverified estimation
Sevilla,Suso,ESP,MF,29.0,"€ 53,846 (£ 45,491, $57,865)","€ 2,800,000 (£ 2,365,521, $3,009,005)",Unverified estimation
Newcastle United,Sven Botman,NED,DF,23.0,"£ 90,000 (€ 106,532, $114,483)","£ 4,680,000 (€ 5,539,652, $5,953,140)",
Augsburg,Sven Michel,GER,"FW,MF",33.0,"€ 13,269 (£ 11,210, $14,260)","€ 690,000 (£ 582,932, $741,505)",Unverified estimation
Bayern Munich,Sven Ulreich,GER,GK,34.0,"€ 38,462 (£ 32,493, $41,332)","€ 2,000,000 (£ 1,689,658, $2,149,289)",Unverified estimation
Bologna,Sydney van Hooijdonk,NED,FW,23.0,"€ 9,808 (£ 8,286, $10,540)","€ 510,000 (£ 430,863, $548,069)",
